Exit,RM,BK,TT,SL,FM,OW,EM,XX,DC,MB
RM,5,354,192,40,35,25,195,112,32,11
BK,389,15,546,151,271,80,591,265,121,71
TT,206,476,17,353,419,99,858,229,216,76
SL,42,143,350,6,96,44,585,77,42,11
FM,36,298,408,97,18,23,977,65,38,6
OW,32,81,114,43,23,6,1104,95,32,10
EM,225,727,1135,684,1085,1184,87,897,1117,508
XX,104,260,218,72,60,101,825,26,227,90
DC,33,116,202,45,38,36,1074,221,12,113
MB,14,70,74,9,6,10,494,93,115,10
