Exit,RM,BK,TT,SL,FM,OW,EM,XX,DC,MB
RM,5,346,182,44,33,23,225,120,34,18
BK,382,14,503,134,262,77,645,308,110,119
TT,190,419,17,338,463,80,841,249,161,116
SL,40,138,362,7,136,37,586,88,50,18
FM,33,284,449,128,20,23,1227,76,42,5
OW,27,80,97,34,19,6,1218,154,35,18
EM,256,763,1126,661,1353,1369,88,915,984,670
XX,96,295,236,83,81,157,889,28,225,141
DC,34,106,153,46,42,45,958,244,11,188
MB,23,126,115,18,4,17,674,138,195,11
