Exit,RM,BK,TT,SL,FM,OW,EM,XX,DC,MB
RM,9,387,188,44,31,33,251,136,43,29
BK,428,25,558,175,262,96,832,351,118,127
TT,203,492,26,334,393,104,1025,291,161,144
SL,46,168,346,13,129,40,651,108,53,18
FM,35,262,384,133,29,25,1512,99,70,6
EM,286,982,1337,805,1693,1591,153,1036,1220,984
XX,115,325,284,96,93,210,1035,33,267,232
DC,40,108,158,55,68,43,1181,270,19,210
SO,28,135,87,31,36,57,367,163,150,263
MB,33,122,138,21,7,28,938,210,220,27
